sentence:,result:
C est une joie immensee de savoir que mon artile de blog où j'ai écrit il y a deux semaines a ete mis en avant par Hashnode,"{  ""sentence_lang"": ""fr"",  ""correction"": ""C'est une joie immenses de savoir que mon article de blog où j'ai écrit il y a deux semaines a ete mis en avant par Hashnode"",  ""edits"": [   {    ""old"": ""C est"",    ""new"": ""C'est"",    ""reasons"": {     ""en"": ""Apostrophe error"",     ""fr"": ""Erreur d'apostrophe"",     ""sw"": ""Kosa la Apostrophe"",     ""li"": ""Libunga ya apostrophe"",     ""hi"": ""एपोस्ट्रोफी त्रुटि""    }   },   {    ""old"": ""immensee"",    ""new"": ""immenses"",    ""reasons"": {     ""en"": ""Spelling error"",                                ""fr"": ""Erreur d'orthographe"",                                ""sw"": ""Kosa la tahajia"",                                ""li"": ""Libunga ya ko kɔta"",                                ""hi"": ""वर्तनी संबंधी त्रुटि""    }   },   {    ""old"": ""artile"",    ""new"": ""article"",    ""reasons"": {     ""en"": ""Spelling error"",                                ""fr"": ""Erreur d'orthographe"",                                ""sw"": ""Kosa la tahajia"",                                ""li"": ""Libunga ya ko kɔta"",                                ""hi"": ""वर्तनी संबंधी त्रुटि""    }   }  ],""suggestion"": ""Je suis ravi(e) de voir mon article de blog, rédigé il y a deux semaines, mis en avant par Hashnode.""}"
"I have eating water and drunk amy apples, I am  non hangry today I will tomorrow again!!!","{  ""sentence_lang"": ""en"",  ""correction"": ""I have eaten water and drunk many apples, I am not hungry today but I will be tomorrow"",  ""edits"": [   {    ""old"": ""eating"",    ""new"": ""eaten"",    ""reasons"": {     ""en"": ""tense error"",     ""fr"": ""erreur de temps"",     ""sw"": ""kosa la wakati"",     ""li"": ""libunga ya ntango"",     ""hi"": ""काल त्रुटि""    }   },   {    ""old"": ""amy"",    ""new"": ""many"",    ""reasons"": {     ""en"": ""Homophonic confusion, «many» is more appropriate in this context."",     ""fr"": ""Confusion homophonique, «many» est plus adapté dans ce contexte."",     ""sw"": ""Uchanganyaji wa homophonic, «many» inafaa zaidi katika muktadha huu."",     ""li"": ""Likuluku ya homophonic, «many» eleki kaka na kati ya contexte oyo."",     ""hi"": ""होमोफोनिक भ्रम, «many» इस संदर्भ में अधिक उपयुक्त है।""    }   },   {    ""old"": ""non"",    ""new"": ""not"",    ""reasons"": {     ""en"": ""Vocabulary error, «not» is more appropriate in this context."",     ""fr"": ""Erreur de vocabulaire, «not» est plus adapté dans ce contexte."",     ""sw"": ""Hitilafu ya msamiati, «not» inafaa zaidi katika muktadha huu."",     ""li"": ""Esobe ya vocabulaire, «not» eleki kaka na contexte oyo."",     ""hi"": ""शब्दावली त्रुटि, इस संदर्भ में «not» अधिक उपयुक्त है।""    }   },   {    ""old"": ""hangry"",    ""new"": ""hungry"",    ""reasons"": {     ""en"": ""Lexical choice, «hungry» is more appropriate in this context."",     ""fr"": ""Choix lexical, «hungry» est plus approprié dans ce contexte."",     ""sw"": ""Uchaguzi wa msamiati, «hungry» inafaa zaidi katika muktadha huu."",     ""li"": ""Komba ya vocabulaire, «hungry» eleki kaka na contexte oyo."",     ""hi"": ""शब्द चयन, इस संदर्भ में «hungry» अधिक उपयुक्त है।""    }   }  ],""suggestion"": ""I've had water and plenty of apples today, so I'm not hungry now, but I might be tomorrow.""}"
J suis beaucoup d argent,"{  ""sentence_lang"": ""fr"",  ""correction"": ""J'ai beaucoup d'argent"",  ""edits"": [   {    ""old"": ""suis"",    ""new"": ""ai"",    ""reasons"": {     ""en"": ""tense error"",     ""fr"": ""erreur de temps"",     ""sw"": ""kosa la wakati"",     ""li"": ""libunga ya ntango"",     ""hi"": ""काल त्रुटि""    }   }  ],""suggestion"": ""Je suis très aisé financièrement.""}"
como mazanas :),"{  ""sentence_lang"": ""es"",  ""correction"": ""Como manzanas :)"",  ""edits"": [   {    ""old"": ""como"",    ""new"": ""Como"",    ""reasons"": {     ""en"": ""Capitalization error"",     ""fr"": ""erreur de majuscule"",     ""sw"": ""kosa la herufi kubwa"",     ""li"": ""libunga ya etanda"",     ""hi"": ""कैपिटलाइजेशन त्रुटि""    }   }  ],  ""suggestion"": ""Disfruto de comer manzanas :)""}"
"Hi Lena,

I hope you are doing well. I just wanted to ensure that you also received the Google Play Store notification about the issue with your developer account.

Play Console developer accounts are intended for developers who actively publish and maintain apps. To protect the safety of app users, developer accounts that aren't used are closed.

To fix this, we have to upload a new version. We don't need to add features; on my side, I just have to update development dependencies, build a new version, and update the app on the Google Play Store. If this action is not done by May 18th, the account will be closed.

Let me know if you're interested in fixing that.
Thank you.
Loïc Y.","{  ""sentence_lang"": ""en"",  ""correction"": ""Hi Lena,\\n\\nI hope you are doing well. I just wanted to ensure that you also received the Google Play Store notification about the issue with your developer account.\\n\\nPlay Console developer accounts are intended for developers who actively publish and maintain apps. To protect the safety of app users, developer accounts that aren't used are closed.\\n\\nTo fix this, we have to **upload** a new version. We don't need to add features; on my side, I just have to update development dependencies, build a new version, and update the app on the Google Play Store. If this action is not done by May 18th, the account will be closed.\\n\\nLet me know if you're interested in fixing that.\\nThank you.\\nLoïc Y."",  ""edits"": [   {    ""old"": ""have to upload"",    ""new"": ""upload"",    ""reasons"": {     ""en"": ""redundant phrase"",     ""fr"": ""expression redondante"",     ""sw"": ""sentensi za ziada"",     ""li"": ""lokuta lolenge"",     ""hi"": ""अनावश्यक मुहावरा""    }   }  ],""suggestion"": ""Hi Lena,\\n\\nI hope everything is going smoothly for you. I'm writing to confirm whether you received the notification from Google Play Store regarding an issue with your developer account.\\n\\nGoogle Play Console developer accounts are meant for those who actively publish and manage apps. Accounts that remain inactive are closed to protect users' safety.\\n\\nTo resolve this, we need to upload a new version of your app. This doesn't require any new features; I simply need to update the development dependencies, build a new version, and publish it to the Google Play Store. If we don't take action by May 18th, the account will be closed.\\n\\nPlease let me know if you'd like me to proceed with this.\\n\\nThank you,\\nLoïc Y.""}"
I love read book because book I study a lot in books for mee it is better that reading with Internet who agree with wath I am saying right now?,"{  ""sentence_lang"": ""en"",  ""correction"": ""I love to read books because I study a lot from books. For me, it is better than reading on the Internet. Who agrees with what I am saying right now?"",  ""edits"": [   {    ""old"": ""read"",    ""new"": ""to read"",    ""reasons"": {     ""en"": ""tense error"",     ""fr"": ""erreur de temps"",     ""sw"": ""kosa la wakati"",     ""li"": ""libunga ya ntango"",     ""hi"": ""काल त्रुटि""    }   },   {    ""old"": ""book because book"",    ""new"": ""books because"",    ""reasons"": {     ""en"": ""redundant phrase"",     ""fr"": ""expression redondante"",     ""sw"": ""sentensi za ziada"",     ""li"": ""lokuta lolenge"",     ""hi"": ""अनावश्यक मुहावरा""    }   },   {    ""old"": ""mee"",    ""new"": ""me"",    ""reasons"": {     ""en"": ""Spelling error"",     ""fr"": ""Erreur d'orthographe"",     ""sw"": ""Hitilafu ya herufi"",     ""li"": ""Esobe ya lituka"",     ""hi"": ""वर्तनी त्रुटि""    }   },   {    ""old"": ""who agree with wath I am saying right now"",    ""new"": ""Who agrees with what I am saying right now?"",    ""reasons"": {     ""en"": ""Grammatical and spelling corrections to the original text."",     ""fr"": "" Corrections grammaticales et orthographiques du texte original"",     ""sw"": ""Marekebisho ya kisarufi na ya herufi."",     ""li"": ""Kokoma ya lisusu."",     ""hi"": ""व्याकरण और वर्तनी सुधार।""    }   }  ],""suggestion"": ""I love reading because I learn a lot from books. I find it more effective than browsing the Internet. Does anyone else agree?""}"
" Il y a eux leur ils étaient assis dans le canapé en train de regarder la télé quand il a décidé de leur faire cuire le dîner. Il est allé au frigo et a pris la paule et les œufs. Il a allumé la cuisinière mais a accidentellement appuyé sur la pause et les œufs ont volé en éclaboussant le comptoir. Il pensait que c'était sans importance, alors il les a simplement essuyés et a mis la pause dans la poêle. Alors qu'il faisait frire la pause, il s'est rendu compte qu'il avait fait une erreur de lecture parce qu'il voulait en fait faire cuire du bacon. Il est ensuite allé au magasin acheter la bonne nourriture et leur a préparé un délicieux dîner.","{    ""sentence_lang"": ""fr"",    ""correction"": ""Il y avait eux; ils étaient assis dans le canapé en train de regarder la télé quand il a décidé de leur faire cuire le dîner. Il est allé au frigo et a pris le poulet et les œufs. Il a allumé la cuisinière mais a accidentellement appuyé sur le gaz et les œufs ont volé en éclaboussant le comptoir. Il pensait que c'était sans importance, alors il les a simplement essuyés et a mis le bacon dans la poêle. Alors qu'il faisait frire le bacon, il s'est rendu compte qu'il avait fait une erreur de lecture parce qu'il voulait en fait faire cuire du bacon. Il est ensuite allé au magasin acheter la bonne nourriture et leur a préparé un délicieux dîner."",    ""edits"": [        {            ""old"": ""eux leur"",            ""new"": ""eux; ils"",            ""reasons"": {                ""en"": ""repetition error"",                ""fr"": ""erreur de répétition"",                ""sw"": ""kosa la kurudia"",                ""li"": ""libunga ya kokila"",                ""hi"": ""दोहराव त्रुटि""            }        },        {            ""old"": ""paule"",            ""new"": ""poulet"",            ""reasons"": {                ""en"": ""Vocabulary or typographical error"",                ""fr"": ""Erreur de vocabulaire ou de typographie"",                ""sw"": ""Hitilafu ya msamiati au ya kuandika"",                ""li"": ""Esobe ya vocabulaire to ya typographie"",                ""hi"": ""शब्दावली या टाइपोग्राफिकल त्रुटि""            }        },        {            ""old"": ""pause"",            ""new"": ""gaz"",            ""reasons"": {                ""en"": ""Vocabulary or typographical error, «gaz» is the correct term in this context."",                ""fr"": ""Erreur de vocabulaire ou de typographie, «gaz» est le mot approprié dans ce contexte."",                ""sw"": ""Hitilafu ya msamiati au ya kuandika, «gaz» ni neno sahihi katika muktadha huu."",                ""li"": ""Esobe ya vocabulaire to ya typographie, «gaz» ezali liloba ya solo na contexte oyo."",                ""hi"": ""शब्दावली या टाइपोग्राफिकल त्रुटि, इस संदर्भ में «gaz» अधिक उपयुक्त है।""            }        },        {            ""old"": ""pause"",            ""new"": ""bacon"",            ""reasons"": {                ""en"": ""Vocabulary or typographical error, «bacon» is the correct term in this context."",                ""fr"": ""Erreur de vocabulaire ou de typographie, «bacon» est le mot approprié dans ce contexte."",                ""sw"": ""Hitilafu ya msamiati au ya kuandika, «bacon» ni neno sahihi katika muktadha huu."",                ""li"": ""Esobe ya vocabulaire to ya typographie, «bacon» ezali liloba ya solo na contexte oyo."",                ""hi"": ""शब्दावली या टाइपोग्राफिकल त्रुटि, इस संदर्भ में «bacon» अधिक उपयुक्त है।""            }        }    ],""suggestion"": ""Alors qu'ils étaient assis dans le canapé à regarder la télévision, il a décidé de leur préparer le dîner. Il est allé au frigo et a sorti du poulet et des œufs. Il a allumé la cuisinière, mais en appuyant accidentellement sur le gaz, les œufs ont explosé et éclaboussé le comptoir. Il a pensé que ce n'était pas grave, a nettoyé le désordre, puis a mis le bacon dans la poêle. Pendant que le bacon cuisait, il s'est rendu compte de son erreur de lecture : il voulait faire cuire du poulet, et non du bacon. Il est donc retourné au magasin pour acheter les bons ingrédients et leur a finalement préparé un délicieux dîner.""}"
"Jina langu ni Loïc Yabili, mimi na tumikaka mu computer science since miaka mingi, mina pendaka sana ku fanya ma software za mingi!","{    ""sentence_lang"": ""sw"",    ""correction"": ""Jina langu ni Loïc Yabili, mimi ni mtumiaji wa computer science toka miaka mingi, napenda sana ku fanya ma software ya mingi!"",    ""edits"": [        {            ""old"": ""langue"",            ""new"": ""langu"",            ""reasons"": {                ""en"": ""Grammatical error"",                ""fr"": ""Erreur grammaticale"",                ""sw"": ""Hitilafu ya kisarufi"",                ""li"": ""Esobe ya makambo ya orthographe"",                ""hi"": ""व्याकरणिक त्रुटि""            }        },        {            ""old"": ""tumikaka"",            ""new"": ""mtumiaji"",            ""reasons"": {                ""en"": ""Spelling or vocabulary error"",                ""fr"": ""Erreur d'orthographe ou de vocabulaire"",                ""sw"": ""Hitilafu ya tahajia au msamiati"",                ""li"": ""Esobe ya vocabulaire au orthographe"",                ""hi"": ""वर्तनी या शब्दावली त्रुटि""            }        },        {            ""old"": ""mina"",            ""new"": ""na"",            ""reasons"": {                ""en"": "" Spelling error or incorrect use of a particle"",                ""fr"": ""Erreur d'orthographe ou d'utilisation incorrecte d'une particule"",                ""sw"": ""Hitilafu ya tahajia au matumizi yasiyo sahihi ya chembe"",                ""li"": ""Esobe ya orthographe au ya lisolo"",                ""hi"": ""वर्तनी त्रुटि या अनुचित कण का प्रयोग""            }        },        {            ""old"": ""pendaka"",            ""new"": ""napenda"",            ""reasons"": {                ""en"": ""Spelling or conjugation error"",                ""fr"": ""Erreur d'orthographe ou de conjugaison"",                ""sw"": ""Hitilafu ya tahajia au ya muundo wa kitenzi"",                ""li"": ""Esobe ya orthographe to ya kokoma"",                ""hi"": ""वर्तनी या संयुग्मन त्रुटि""            }        },        {            ""old"": ""fanya"",            ""new"": ""ku fanya"",            ""reasons"": {                ""en"": ""Omission of the infinitive particle error"",                ""fr"": ""Erreur d'omission de la particule d'infinitif"",                ""sw"": ""Hitilafu ya kuacha chembe ya infinitive"",                ""li"": ""Esobe ya kolongola likambo ya infinitive"",                ""hi"": ""अनंत कण की चूक""            }        }    ],    ""suggestion"": ""Jina langu ni Loïc Yabili. Mimi ni mtaalamu wa sayansi ya kompyuta kwa miaka mingi na napenda sana kutengeneza programu mbalimbali.""}"
"Hello,

My name is John Doe, I am one of the most popular personality in this world because many persons know my name but doesn't know how is my face look like 😳.

I am writing this message to notice you that I am looking for someone who can replace my name so developer will not use it anymore!!! I am very tired, if that don't change I will take to court I have the lawyer of this continents is name is Mr Mr Saul Goodman.
","{    ""sentence_lang"": ""en"",    ""correction"": ""Hello,\\n\\nMy name is John Doe, I am one of the most popular personalities in this world because many people know my name but don't know what I look like 😳.\\n\\nI am writing this message to notify you that I am looking for someone who can replace my name so developers will not use it anymore!!! I am very tired, and if that doesn't change, I will take you to court. I have the best lawyer on this continent; his name is Mr. Saul Goodman."",    ""edits"": [        {            ""old"": ""persons"",            ""new"": ""people"",            ""reasons"": {                ""en"": ""Usage or lexical choice error"",                ""fr"": ""Erreur d'usage ou de choix lexical"",                ""sw"": ""Hitilafu ya matumizi au uchaguzi wa msamiati"",                ""li"": ""Esobe ya kokoma au ya lisolo"",                ""hi"": ""उपयोग या शब्द चयन त्रुटि""            }        },        {            ""old"": ""how"",            ""new"": ""what"",            ""reasons"": {                ""en"": ""Vocabulary or interrogative form error"",                ""fr"": ""Erreur de vocabulaire ou de forme interrogative"",                ""sw"": ""Hitilafu ya msamiati au ya muundo wa kiulizo"",                ""li"": ""Esobe ya vocabulaire au kokoma"",                ""hi"": ""शब्द चयन या प्रश्नात्मक रूप त्रुटि""            }        },        {            ""old"": ""notice"",            ""new"": ""notify"",            ""reasons"": {                ""en"": ""Vocabulary error"",                ""fr"": ""Erreur de vocabulaire"",                ""sw"": ""Hitilafu ya msamiati"",                ""li"": ""Esobe ya lisolo"",                ""hi"": ""शब्द चयन त्रुटि""            }        },        {            ""old"": ""continents"",            ""new"": ""continent"",            ""reasons"": {                ""en"": ""Grammatical number error"",                ""fr"": ""Erreur de nombre grammatical"",                ""sw"": ""Hitilafu ya idadi ya kimaumbile"",                ""li"": ""Esobe ya kokoma na nombre ya mboka"",                ""hi"": ""व्याकरणात्मक संख्या त्रुटि""            }        }    ],    ""suggestion"": ""Hello,\\n\\nMy name is John Doe, I am one of the most famous people in the world since a lot of people recognize my name, but they don't know what I look like. So this is why I'm contacting you.\\nI am looking for someone who can use another name so that developers will not use my name anymore! I am tired of it and I will take legal actions if necessary. My lawyer on this continent is Saul Goodman.""}"
"﻿ There their they where siting in the couch watching TV when he decide to cook them dinner. He went to the fridge and grab the break and eggs. He turn on the stove but accidental hit the break and the eggs flew scattering in the counter. He thought that it would be irregardless so he just mop them up and put the break in the pan. As he was frying the break, he realize that he had made a spoonirsm error because he actually wanted to cook bacon. He then went to the store to buy the right food and made them a delicious dinner.﻿","{    ""sentence_lang"": ""en"",    ""correction"": ""There, they were sitting in the couch watching TV when he decided to cook them dinner. He went to the fridge and grabbed the eggs and bacon. He turned on the stove but accidentally hit the gas and the eggs flew scattering on the counter. He thought that it would be irrelevant so he just mopped them up and put the bacon in the pan. As he was frying the bacon, he realized that he had made a spoonerism error because he actually wanted to cook bacon. He then went to the store to buy the right food and made them a delicious dinner."",    ""edits"": [        {            ""old"": ""where"",            ""new"": ""were"",            ""reasons"": {                ""en"": ""Spelling or misuse error"",                ""fr"": ""Erreur d'orthographe ou mauvaise utilisation"",                ""sw"": ""Hitilafu ya tahajia au matumizi yasiyo sahihi"",                ""li"": ""Esobe ya kokoma au kosolola"",                ""hi"": ""वर्तनी या गलत उपयोग त्रुटि""            }        },        {            ""old"": ""siting"",            ""new"": ""sitting"",            ""reasons"": {                ""en"": ""Spelling error"",                ""fr"": ""Erreur d'orthographe"",                ""sw"": ""Hitilafu ya tahajia"",                ""li"": ""Esobe ya kokoma"",                ""hi"": ""वर्तनी त्रुटि""            }        },        {            ""old"": ""decide"",            ""new"": ""decided"",            ""reasons"": {                ""en"": ""tense error"",                ""fr"": ""erreur de temps"",                ""sw"": ""kosa la wakati"",                ""li"": ""libunga ya ntango"",                ""hi"": ""काल त्रुटि""            }        },        {            ""old"": ""grab"",            ""new"": ""grabbed"",            ""reasons"": {                ""en"": ""tense error"",                ""fr"": ""erreur de temps"",                ""sw"": ""kosa la wakati"",                ""li"": ""libunga ya ntango"",                ""hi"": ""काल त्रुटि""            }        },        {            ""old"": ""break"",            ""new"": ""bacon"",            ""reasons"": {                ""en"": "" Vocabulary error, «bacon» is more appropriate in the context"",                ""fr"": ""Erreur de vocabulaire, «bacon» est plus approprié dans le contexte"",                ""sw"": ""Hitilafu ya msamiati, «bacon» inafaa zaidi katika muktadha huu"",                ""li"": ""Esobe ya lisolo, «bacon» ezali motuya ya solo"",                ""hi"": ""शब्दावली त्रुटि, «bacon» संदर्भ में अधिक उपयुक्त है""            }        },        {            ""old"": ""turn"",            ""new"": ""turned"",            ""reasons"": {                ""en"": ""tense error"",                ""fr"": ""erreur de temps"",                ""sw"": ""kosa la wakati"",                ""li"": ""libunga ya ntango"",                ""hi"": ""काल त्रुटि""            }        },        {            ""old"": ""accidental"",            ""new"": ""accidentally"",            ""reasons"": {                ""en"": ""Word form or adverb usage error"",                ""fr"": ""Erreur de forme de mot ou de mauvais usage de l'adverbe"",                ""sw"": ""Hitilafu ya umbo la neno au matumizi yasiyo sahihi ya kivumishi"",                ""li"": ""Esobe ya form ya motuya au ya kokoma"",                ""hi"": "" शब्द रूप या क्रिया-विशेषण के उपयोग की त्रुटि""            }        },        {            ""old"": ""irregardless"",            ""new"": ""irrelevant"",            ""reasons"": {                ""en"": ""Vocabulary error or word choice error"",                ""fr"": ""Erreur de vocabulaire ou mauvais choix de mot"",                ""sw"": ""Hitilafu ya msamiati au uchaguzi usiofaa wa neno"",                ""li"": ""Esobe ya lisolo au ya kokoma"",                ""hi"": ""शब्द चयन त्रुटि या शब्द उपयोग त्रुटि""            }        },        {            ""old"": ""mop"",            ""new"": ""mopped"",            ""reasons"": {                ""en"": ""tense error"",                ""fr"": ""erreur de temps"",                ""sw"": ""kosa la wakati"",                ""li"": ""libunga ya ntango"",                ""hi"": ""काल त्रुटि""            }        },        {            ""old"": ""spoonirsm"",            ""new"": ""spoonerism"",            ""reasons"": {                ""en"": ""Spelling error"",                ""fr"": ""Erreur d'orthographe"",                ""sw"": ""Hitilafu ya tahajia"",                ""li"": ""Esobe ya kokoma"",                ""hi"": ""वर्तनी त्रुटि""            }        }    ],""suggestion"": ""They were sitting on the couch watching TV when he decided to cook them dinner. He went to the fridge and took out the eggs and bacon. He turned on the stove and accidentally hit the gas burner. The eggs flew out of the pan and splattered on the counter, but he decided that it was no big deal and just cleaned them up. Then he put the bacon in the pan and started to fry it. But as he was cooking, he realized that he had made a mistake and that he actually wanted to cook bacon. He quickly went back to the store and bought the right food, and then he cooked them a delicious dinner.""}"
,
